Date,Stock Name,Stock Code,Amount,Investor Type,Action,Return After
2019-01-07,Keppel Corporation,BN4,-20.708603,retail,sell,0.004870081789685399
2019-01-07,CapitaLand Mall Trust,C38U,5.340867,retail,buy,0.0043103811722779994
2019-01-07,Silverlake Axis,5CP,5.098878,retail,buy,0.012345788513355993
2019-01-07,StarHub,CC3,3.617937,retail,buy,0.0114941920245204
2019-01-07,Haw Paw Corporation,H02,3.031355,retail,buy,-0.015037757466902169
2019-01-07,CSE Global,544,1.8673075,retail,buy,0.037036056827083996
2019-01-07,OCBC,O39,-86.223101,retail,sell,0.015652294689315616
2019-01-07,DBS,D05,-82.168794,retail,sell,0.04642398440247941
2019-01-07,UOB,U11,-54.890757,retail,sell,0.052840677379825784
2019-01-07,Genting Singapore,G13,14.445656,institution,buy,0.05940595185428221
2019-01-07,GSH Corporation,BDX,39.3713115,retail,buy,-0.06944443281744606
2019-01-07,NetLink NBN Trust,CJLU,3.1244865,retail,buy,-0.006451448690933392
2019-01-07,Haw Par Corporation,H02,-3.072064,institution,sell,-0.015037757466902169
2019-01-07,Thai Beverage,Y92,22.197906,institution,buy,0.12698408895885183
2019-01-07,StarHub,CC3,-3.996145,institution,sell,0.0114941920245204
2019-01-07,Silverlake Axis,5CP,-5.266355,institution,sell,0.012345788513355993
2019-01-07,ComfortDelGro,C52,-10.317097,institution,sell,-0.013824845466881674
2019-01-07,CapitaLand Mall Trust,C38U,-14.153367,institution,sell,0.0043103811722779994
2019-01-07,GSH Corporation,BDX,-39.3798925,institution,sell,-0.06944443281744606
2019-01-07,Singtel,Z74,9.811547,institution,buy,0.030612482448702405
2019-01-07,SATS,S58,12.447025,institution,buy,0.006147689127087519
2019-01-07,CSE Global,544,-2.1455245,institution,sell,0.037036056827083996
2019-01-07,City Developments,C09,13.543937,institution,buy,0.03886923436268641
2019-01-07,Venture Corporation,V03,19.737802,institution,buy,0.07568323794141363
2019-01-07,Singtel,Z74,-28.27145,retail,sell,0.030612482448702405
2019-01-07,NetLink NBN Trust,CJLU,-2.580111,institution,sell,-0.006451448690933392
2019-01-07,OCBC,O39,37.46821,institution,buy,0.015652294689315616
2019-01-07,DBS,D05,57.65886,institution,buy,0.04642398440247941
2019-01-07,UOB,U11,45.70013,institution,buy,0.052840677379825784
2019-01-07,City Developments,C09,-26.843312,retail,sell,0.03886923436268641
2019-01-07,Venture Corporation,V03,-23.074824,retail,sell,0.07568323794141363
2019-01-07,Thai Beverage,Y92,-23.172627,retail,sell,0.12698408895885183
2019-01-07,Genting Singapore,G13,-19.13067,retail,sell,0.05940595185428221
2019-01-14,Jardine Matheson,J36,-5.05176900189999,institution,sell,-0.011094729638576273
2019-01-14,Hongkong Land,H78,4.8442534736,institution,buy,0.0
2019-01-14,SATS,S58,-6.837378,institution,sell,-0.020366586109879292
2019-01-14,CapitaLand Mall Trust,C38U,-8.198789,institution,sell,-0.02575101612822417
2019-01-14,Sembcorp Industries,U96,-9.029678,institution,sell,0.015094089433947078
2019-01-14,ComfortDelGro,C52,-9.893042,institution,sell,0.023364372436843972
2019-01-14,Ascendas REIT,A17U,-25.084823,institution,sell,-0.007326094676305739
2019-01-14,Creative Technology,C76,2.454966,retail,buy,-0.016544145522284337
2019-01-14,City Developments,C09,6.702215,institution,buy,0.009070282138464503
2019-01-14,UOB,U11,-4.16343299999999,institution,sell,-0.0181132315679563
2019-01-14,SGX,S68,10.155708,institution,buy,0.017808016117022873
2019-01-14,Yangzijiang Shipbuilding,BS6,11.629215,institution,buy,0.030769390492612736
2019-01-14,ST Engineering,S63,12.981728,institution,buy,0.013850468050971232
2019-01-14,Thai Beverage,Y92,16.3490555,institution,buy,0.03521135314551138
2019-01-14,OCBC,O39,4.822599,institution,buy,-0.015411075986495604
2019-01-14,Singtel,Z74,-4.316207,institution,sell,-0.0033005649105584123
